P_value_shallow,P_value_dnn1,P_value_dnn2
1.0 9.817075633343574e-139,1.0 0.9651360574549015,1.0 0.2817154187666196
1.0 0.0,0.00022856532875077082 0.0,0.8028932171670429 0.3177645225144796
1.0 7.522099369210784e-264,1.0 5.453533663442548e-90,1.0 1.0
1.0 6.0639355212791425e-254,0.000338414778772875 0.0006521067830766788,0.24458516156017968 0.0
1.0 0.0,0.0 0.0,1.0 1.0
1.0 0.9611413979842484,1.0 0.0,1.0 1.0
1.0 0.0,1.0 7.118311397365203e-184,1.0 3.51221692275062e-141
1.0 0.0,0.0 0.8433755034026874,0.6428269566261802 1.0
1.0 5.644334701449978e-51,1.9259325259494863e-187 0.0,0.007074525012384649 0.0
0.6721274093820129 0.768918815599551,1.0 0.5168349651853601,0.19650747604353747 0.012027562435386226
9.194618430889051e-262 5.903623220952836e-28,0.5707317962432488 1.0,1.0 1.0
0.07807425955487012 1.0,0.4734625662433777 7.576143741462614e-128,1.0 0.5617568218767522
1.0 0.15205329981539295,1.0 0.17167913401639753,1.0 1.0
3.3651739269836414e-78 0.0,0.005250193658554896 1.0,1.0 1.0
1.0 1.0,1.0 0.0,0.43200686960341467 0.9112840755333779
1.0 0.7730241798982809,1.0 0.43868729221091146,1.0 1.0
0.946023624285558 1.0,1.0 0.7930257998115338,0.7412346787411055 0.3335628921993821
0.054607507989509446 7.613775964308637e-292,1.0 0.10388045303514094,0.0 1.1153250739705447e-71
1.0 5.825840985277742e-295,1.0 0.10723675319787283,0.0 0.0
1.0 1.2478032650021745e-137,2.628295523917131e-73 3.4785695539369608e-124,1.0 0.4084845668055599
0.638017035744165 1.0,0.07608538568994173 1.0,0.0 1.0053973975951844e-256
0.0 0.0,0.06712812633848969 1.0,6.529970379861047e-61 1.9039965927652644e-256
1.0 0.09124721823958187,0.020671255462842382 0.545465601614118,1.164571100406994e-40 0.0
0.9490497340899737 1.0,0.0 1.0,0.10335205600494163 0.0
0.8267841990473709 3.2185613976392196e-10,0.7752404868806435 0.0,1.6525936951596249e-28 0.04851441206172058
1.0 0.0,3.499110783870238e-17 0.0,1.751708062020429e-29 0.0
1.0 0.15321950300250634,2.6906132549306285e-16 0.0,1.0 0.24328708398224302
0.3955696053421613 1.6977668154528903e-249,7.159650039151016e-80 0.0,1.0 3.3982234836298394e-210
1.0 0.0,1.4285785735248284e-105 0.0,2.600606937785399e-17 1.0
8.06626082441277e-80 0.0,2.236214713989305e-22 0.0,0.09747845582035652 0.0005308464554794538
1.0 6.546880411332908e-08,2.990310609604523e-13 0.0,1.0 1.0
