P_value_shallow,P_value_dnn1,P_value_dnn2
0.8651679046686711 3.2654577703537745e-07,1.0 0.12194792499119307,0.12573727947394034 1.32931701765766e-07
1.0 0.731883683963727,0.3788122712513275 0.005429428102321953,1.0 1.0
1.0 0.013670641091276062,1.0 0.21540260141753326,0.535456774541893 0.6952038811563728
1.0 0.0005510481499894155,0.6547364112517902 0.09413863528656385,0.4809324157361027 0.15345558479306498
1.0 0.26891944210182916,0.5590675752123841 1.0,1.0 6.932404881555563e-10
0.03876891073711664 0.24691423388826234,1.0 1.0,1.0 0.0008055569587891945
1.0 0.02049536460844653,1.0 0.09830094844889567,1.0 0.05651198087007968
0.7119420361238579 1.0,1.0 1.0,0.004325463480835499 0.0004089875314769272
0.9746964016403192 0.17518886484632767,0.6084254261772921 0.607720061302848,1.0 0.03428071018238047
1.0 0.000493849272163366,1.0 0.48563085416408824,0.7884029596357158 8.819478166390011e-08
1.0 0.011408959211563902,0.07115287379273268 0.0008380471947412335,1.0 0.33931363868064146
0.537031415023204 7.0802087741741895e-09,1.0 0.35461912238635895,1.0 0.0006361891593397333
0.3602101085068527 0.0012926179487937899,0.30623592022571394 0.0044715637019386925,0.3275446929497651 4.138890153198157e-07
1.0 1.1294546235551912e-07,1.0 0.0008782058054123066,0.2576083613206901 0.00018865284580855146
1.0 0.0621999872602437,0.9195847530403252 2.1257564926744505e-07,0.13487868246702997 5.727070480668173e-06
0.38727582222037127 0.17568731737507892,1.0 3.7758287987417225e-05,1.0 1.0
1.0 5.913113644778438e-09,0.3846351129451048 1.0,1.0 1.1382420803308386e-18
0.21606419546101763 0.17975620678756077,0.023392097870224123 0.3481025163271981,1.0 0.9174594947917543
0.07103108059978072 0.03447814518485848,0.9045515792649028 9.274678227377263e-07,0.06367287097696102 9.263186585199757e-18
0.0003877925983744219 0.18719609833394854,1.0 1.0,0.8916723820124273 6.909395188347301e-05
1.0 0.1276951479341073,1.0 2.5296751399864865e-12,0.05371309884380281 0.00012187087672635078
1.0 4.42305334085454e-06,1.0 1.3001785598851998e-07,0.3277136035924021 8.582025864829463e-07
0.6155761202829482 0.002276721075464466,1.0 1.0,0.05608183604972863 2.3942529658418845e-09
1.0 1.0,1.0 0.9514677683044802,1.0 1.0
1.0 0.9743272521347045,0.7636219036609047 0.7357212644044225,1.0 1.0
0.05217980436754207 0.0003533912601566087,0.07350693686540483 2.6033699231096235e-05,0.005620963946571857 1.0979548656564843e-05
0.41075343592163793 0.005244638050880541,0.001969546375945049 5.4828717330114746e-08,0.380338589532993 4.756107285224055e-08
1.0 0.3003752473837389,0.02227534133772022 2.3991700129995123e-06,1.0 1.5349766012862236e-05
1.0 0.06271402479884225,1.0 0.00014299272098407118,0.3219113387822225 2.3483965035596706e-07
0.7089232852358771 0.5818808301411482,0.8828900299619273 1.0,1.0 1.2644353211102513e-05
0.7042756962646778 0.00039396991823892265,0.21329412031474276 7.534809437643224e-05,0.04523211253096868 0.0009631351770229505
0.6177472899862978 0.003914644567939272,1.0 0.01933188253197814,0.41775595432523227 0.0002790390518027375
0.8503767656943905 1.0,0.7040404636536088 1.867625704534968e-05,1.0 1.0
1.0 2.634070163936669e-08,0.5313396390185913 1.4826501788708309e-05,1.0 0.07789590986870161
0.7123866576256346 6.128720084064212e-07,0.6019656548962969 0.3185370620958412,0.45877518218433055 5.527321066349781e-06
0.1469037693283317 0.10166239044673867,1.811897820820055e-08 3.513292765121923e-07,0.8698168229219733 4.608263336105107e-09
1.0 0.1680157053153982,1.0 0.16087701021514056,0.38099549204251354 9.759272473317778e-09
0.7536880057828371 1.0,0.35571295575426337 0.0013043634375538632,0.12021369111446664 0.04543131523972121
0.00015785246328556529 1.0,1.0 2.901104447767046e-09,0.5346920907928854 0.8060812098114478
0.3098726652830792 0.0033831844277896405,0.02539254293159363 4.6809433666839196e-08,0.030124526377126093 3.341449309904049e-07
1.0 0.42527872677744044,1.0 0.001171661191943508,1.0 0.005783262031822346
1.0 0.2395481033214772,0.007019782254610916 1.0,0.3150252721492774 0.9353682698300518
0.0706086487060375 0.02683092620126993,1.0 1.0,0.696669090288632 0.0007967199374982184
0.40744277582840965 0.12938636114159274,1.0 3.8789401197745533e-07,0.7695018956491111 0.23772954861898576
0.7982200083719275 1.0,0.7579728022922552 5.059165132619212e-05,0.10176946992947677 1.1343281037839318e-05
1.0 0.000445393791120462,0.007849324298105668 4.374875894287964e-05,0.6082699941907803 0.00503476840904953
1.0 0.20085438791812354,1.0 1.074844479637444e-09,0.498720686254167 3.654143937599377e-08
1.0 0.0004500969557997225,0.15161242088877203 1.0,0.01609033802941024 0.012740966306646867
1.0 0.4535910111105662,0.8130871173252618 5.059685905213307e-07,1.0 1.0
1.0 1.0,0.948042231103176 0.9595225669654925,0.42720208224938583 0.4264926630927744
1.0 1.0,0.5116230376959598 3.755656337751144e-05,1.0 0.14176965366276892
1.0 1.0,1.0 1.0,1.0 0.048384563151013193
0.7971315621955186 0.29515345747971,1.0 0.001029272068795307,0.4182914392910385 0.00027781882193916673
1.0 0.5586595025238825,0.8828665788186361 0.0005842307336883056,0.358599411416156 1.0
1.0 0.014849405965722949,1.0 0.04059427413040413,0.0070836792470025944 6.249169046559194e-05
1.0 1.0,0.9322118508905035 0.16263123526870915,1.0 1.0
0.00272023864888598 5.2871389097036226e-08,0.9047711133806634 7.361382869421448e-08,1.0 0.037550556067508706
1.0 0.0017296589758938577,1.0 2.521536991389789e-05,1.0 6.788712650741995e-05
1.0 1.2745742380703203e-10,0.37830776299870383 6.295223019777993e-10,0.013878726756229042 0.20293586671073782
1.0 4.14970163583566e-07,0.4974822083350612 7.039842553658209e-05,0.913886983143849 2.9348715221797224e-08
0.374994246523219 0.0010020570068451852,0.5147586312064907 9.482988091924422e-09,1.0 0.0014450603817695547
0.009739371958112992 0.738250884597696,0.5183571936924771 3.6173924987934043e-06,1.0 0.1917383157118661
1.0 0.0018476150566588984,0.6195062791391979 0.00036218204075867916,0.2377621868801679 0.2092372570526489
0.11545698951859412 1.0,1.0 1.0,1.0 1.0
0.8371094335532709 0.4917895236381666,0.16559701735218552 5.446690688185087e-12,0.8198556805008128 8.283151938966022e-08
1.0 0.1046546586819965,0.017953999851895146 1.0,1.0 0.4518023579876883
0.4443501381503425 3.620074013742006e-10,0.015641636228539944 4.476810410797579e-06,0.019140153705706868 1.0060866651626579e-07
1.0 1.0,0.0022708569461757045 0.6069409610039969,1.0 1.0
2.1550000869209756e-05 1.795555963080532e-07,0.2906060763028405 1.0,1.0 1.0
0.7863948057516064 1.1743528254891548e-06,1.0 0.1969209014982662,0.5449473956264954 3.0433090529431025e-07
0.1359941641621212 0.006486172884216346,0.591130220389454 0.3144269525815736,0.21134354548591983 0.056960488746780474
0.9958606171505876 1.0,1.0 0.9293548878895088,1.0 0.208453260132597
1.0 1.0,1.0 1.0,0.20833661319959967 1.0
1.0 1.0,1.0 0.0006093637597866371,1.0 0.5301776426084098
0.47819638172472556 0.5390836243785164,1.0 0.45684175182515335,0.2852630362727067 0.30621475857113645
0.1822252159530762 0.4766164695127309,1.0 1.0,1.0 4.3272060121104825e-08
1.0 0.23108887100711678,0.5868386280590818 0.0003193676605443733,0.1442733322988956 1.0
0.9384831147891286 1.3943860398107209e-06,0.4227483439617687 2.3427538132041347e-05,0.760102811430465 0.8091209365534362
0.24449079207390095 0.014744727401771577,0.9571582369705568 1.0,1.0 0.05950269373409882
0.27565114643475674 0.534204068036509,1.0 0.7830942435293795,0.3972652758657347 0.9897238438357032
0.8968380224307134 7.949396570411077e-06,1.0 1.0,0.0932808620019644 1.0
1.0 3.1278089539135014e-06,0.17653115877294354 1.4983899541664695e-15,0.9480069768223657 5.820817987777615e-07
0.4706596920902097 0.8211620530313295,1.0 1.2783099262971852e-06,0.5507866038531688 1.0
1.0 0.0014695661061822811,1.0 3.5575824820970465e-06,1.0 0.6380762550479986
0.8035314693119887 0.017790298577186975,0.3964440219769674 0.4281978836235905,0.006255450045334624 0.24712963799756443
6.986305120461084e-08 3.0390669107282184e-09,0.19859683270088935 1.0,0.008315174030299799 0.022612809628857918
0.3688021307882727 0.7519157142157618,1.0 0.302873917093738,1.0 0.9978658884202265
0.0529007910116089 5.745947775386167e-05,0.47272956777337144 3.9790329375669903e-05,0.19223622360809767 0.7219197607541639
1.0 0.021580316336767467,1.0 1.0,1.0 1.0
1.0 0.2344888673969749,1.0 1.539318039425469e-07,1.0 2.2200030790614893e-06
0.4370662359685553 0.5381045586781805,1.0 0.9834691820671337,0.7470456718962044 0.27867547762825023
0.9530687905174073 0.2850426801915509,1.0 2.885143980206024e-09,0.2713999154925159 1.0
1.0 0.7497966417715288,1.0 0.00020184271695202188,8.18723287518825e-06 0.21677188450491086
1.0 1.0,1.0 3.8321656776155584e-07,1.0 1.0
0.08426585501157338 1.0,0.5777705565448692 0.3997852623686425,1.0 1.0
0.8360681885938461 0.4509742047350942,1.0 1.0,1.0 1.0
0.0006130451153810609 0.049603097268508346,0.1324271447432355 6.964471570986077e-05,0.2997930947186689 0.0012772724409235415
1.0 1.0,0.13994796088531072 0.02602276803972632,0.1344122658410171 7.777861684346774e-08
0.25153801518650765 0.9968079531723144,1.0 0.8190497092032024,0.06853687137282591 0.792906301838513
1.0 2.4670325320995993e-09,0.29052908145995365 1.0,0.7442824568553906 6.491438188882203e-07
1.0 4.304718200616478e-15,0.38514187052871407 0.10157202404949098,0.0006282720370204022 5.3443399510986996e-17
0.4664894883936687 9.40061504781951e-06,1.0 1.8749945898744724e-07,1.0 3.7451724601639883e-11
0.00040652105189195603 1.0,1.0 0.0014076450211118897,0.05175870057505701 1.0
0.00048270189722243647 0.951253677436664,0.32409384655958423 7.302591028310446e-10,1.0 1.0
0.7703709350533073 0.153254033458268,0.075328587640514 0.00038880402856163453,0.17133599959705084 3.909399153098642e-06
0.0014877593124435252 0.7623149461337979,0.0001979999429373461 0.3180192498142074,0.018401086169899463 0.00197563748681498
0.5902960329173247 0.003316393689857657,0.9539093998004542 0.6761508754045997,0.009659878186294922 4.6850886703129567e-07
1.0 1.0,0.5869212996581623 0.09245610823964773,0.24117969728570224 0.3479787228443759
0.39104609764515047 1.0,1.0 0.6180613400708939,1.0 1.0
