P_value_shallow,P_value_dnn1,P_value_dnn2
0.09568815296628674 1.0,0.9442371756918232 0.660241964244343,0.218325177950517 0.07211852292223356
1.0 1.0,0.005334860064183723 1.0915674762815512e-05,0.2899119911274167 0.10323497099648622
1.0 0.02279572551325254,1.0 0.07882220008546989,0.42660002423768467 0.03263897485999507
1.0 0.8079736445683916,0.34384095930021363 1.0,1.0 0.1310062948721566
1.0 1.0,1.0 1.139391586402912e-08,1.0 1.0
1.0 0.006607241804970369,0.39299877934397276 1.0,0.07112960950294421 0.020899437425076998
1.0 0.00019730309408860327,0.04015689042072859 0.0020138287499620352,0.060866164938280315 1.0
1.0 0.11913441234366567,0.17881540234528573 5.824889111179883e-07,1.1616971871833999e-06 0.015224758010367661
1.0 0.01147089224568604,0.08832289172484686 0.8173569444327071,0.8774101725949082 0.09077155154417288
1.0 1.0,0.1670991436040837 0.006126400781618339,0.13885765432678568 1.0
1.0 1.0,0.7804349287943921 1.0,1.0 1.0
0.00043330559570938545 2.4908340942112558e-05,0.0019330034282112592 0.0028541509758843384,0.07252082399157027 0.0002800566198046918
0.4223458157261046 0.1673320259808463,1.0 0.8241201305213827,0.5793763927391596 0.02745933278005655
1.0 0.8049799507440668,1.0 6.358411238823212e-05,1.0 0.08265755965194749
1.0 0.03433324824743492,0.5917457291184696 0.027700644024042365,0.05386359478759995 0.4048738254450654
1.0 0.8819474891905285,0.02397185447121376 6.690911895470131e-10,0.2018499411119772 1.8832200813888922e-07
1.0 0.9117072085452378,1.0 0.0011245993110178742,0.9880482584502572 7.312315100754448e-09
1.0 1.0,0.9212779834782816 0.31947169887333876,0.4417467690083807 1.0
1.0 0.002099155285065885,1.0 3.212573384426187e-07,1.0 1.0
1.0 1.0,0.5784969460646896 0.05195207033824788,0.31996756870072396 1.0
1.0 0.38249024629445644,1.0 0.05356573703918241,0.9097156377523781 0.030098919249896054
1.0 1.0,0.27085470953348384 0.026406667702238935,0.010924017147037867 0.006424055463772427
0.6613603147217628 0.3781356917468575,1.0 1.0,1.0 0.4017005746251502
0.4844359770238277 0.27667012053574586,1.0 0.07040070891872362,0.4994201194175644 0.9820510180824145
0.9957753589660926 0.043089054278268375,0.464618868886355 0.02554999160718844,0.20891898120662653 0.02096995623839515
0.752482478874311 0.019812863009942325,1.0 0.48435689804081417,0.45818858113820754 0.27015259234031774
1.0 0.21819623617768671,1.0 0.868937335095183,0.30873159720399646 0.0592138015238122
1.0 0.40423603195253827,1.0 0.0022325098484946874,0.6232269211910058 0.47407371796620834
1.0 5.263499629766631e-05,0.8527895947719288 0.29959732189204324,1.1020070598558457e-05 0.00027367848918772897
0.6221669840726618 1.0,0.0861708866298606 0.001254664428908472,1.0 0.40763767781109395
1.0 1.0,1.0 0.0001448698603148266,1.0 0.18162192814917247
1.0 0.6080667408231499,0.21430991820099513 0.09564448866785713,0.04634803299447117 0.165091256496604
1.0 0.02453082906190451,0.2883470668891778 0.013708700277118374,1.0 1.0
1.0 0.0014934113567011754,0.06544296192886263 0.17476179545038423,0.2198544952772677 4.907588669714133e-06
1.0 0.3436878447938968,1.0 1.0,1.0 0.028143297288197297
1.0 0.035383886989807184,0.5443796276598061 0.9366487718895654,0.14763197257308835 1.0
0.09746870743428351 3.541926052527388e-06,0.38442830844428166 3.757881219554975e-07,1.0 1.0
0.6299585887168724 1.0,0.8015832682477484 0.0032962500470049188,0.34657905506897907 0.03907111768177356
0.5874154274165453 1.0,0.6495570447495008 1.2459722904770564e-05,1.0 0.808032814168721
1.0 1.0,0.10592415317535192 0.0004002349995345334,1.0 0.3912954464594411
0.004815051339598133 0.012806463955746687,1.0 0.00013089408510077565,0.9681040501478098 0.5290235433717043
0.7765821191641075 0.3597188006930344,1.0 0.000934262180759232,0.7404470035868275 0.00843775554234149
1.0 0.5972219802751005,0.07562740362789128 5.62569997600589e-05,0.7160300471668064 0.12068813913948953
1.0 0.650721930691237,0.03147352770518775 1.0,0.20297466710170578 0.4941841731990071
1.0 0.024519764916715987,0.008581043860903519 9.879654298439774e-05,1.0 1.0
0.4800191439172727 0.12932089803897207,0.051252697385390504 0.507563128060037,1.0 0.33436853183307974
1.0 0.18258359200563257,0.029504475554678944 0.07461553177393179,0.40223793474631786 1.0
1.0 0.11038819768586262,0.03178620446224555 0.771669487778743,0.5015694042296122 0.1231762729905169
1.0 1.0,1.0 0.000244726164283737,1.0 0.00771229748914847
0.3747470459210907 0.01983372174460208,1.0 0.5102162314455626,0.3199703878723746 0.5245709956687099
1.0 1.0,1.0 1.0,0.3861044930176712 0.0024115654015633326
1.0 1.0,0.8275810754781252 0.0003119230205262902,1.0 0.4328500043439217
0.09178908621055391 0.2146757734063462,0.6615159146167455 0.24102096048703747,1.0 0.3697873968841368
1.0 0.08515876332259681,1.0 0.0024165340712038828,0.3814967018692376 1.0
0.007600259507036199 0.04841784064789971,0.0104290166371036 0.0435301864246758,0.1601423659591888 7.015657828250962e-05
1.0 0.3303899487304414,1.0 0.002265814289945178,1.0 1.0
0.7065558770944902 0.03847516285222956,0.02559550523354305 0.7862207550859419,0.8799634827566408 0.2347923721646655
0.1271147043582479 0.10673411638145655,0.7761141492678691 0.2025790754785276,0.7445186109907757 0.24061466987700264
1.0 0.8532986860373546,1.0 0.9357689282727537,0.7133036933804912 0.23584936714586033
0.11729314851153437 0.19426684957786394,1.0 1.3888964726116294e-05,1.0 1.0
1.0 0.007253541104999548,0.9362561065647703 0.3798758823745662,1.0 0.6577552765233883
0.5061196616980825 0.30216590184763337,1.0 0.10022195583749126,1.0 0.505941929642811
1.0 0.11339789607803946,0.45251145288631894 0.025920004417809173,0.04805377690584114 0.4842203242060669
1.0 0.11443815599800301,0.6764419075556075 0.03272130844865,1.0 0.20302549859667268
0.44537727689425954 0.007113968888602077,0.22825559815831084 1.0,0.1211908454570545 1.0
0.23672367426270713 0.15266030231991679,0.5843855082451783 1.0,1.0 0.19119940917628148
1.0 1.0,0.8711576472475592 0.0006641096194200218,1.0 1.0
1.0 1.0,0.0615779806229365 0.00025395303327679995,1.0 1.0
1.0 1.0,0.5132684776959333 0.004294799935756908,0.8284735736055849 0.9604564387355772
1.0 0.0036380547360900105,0.2726021687080143 1.0,0.3889973895674475 1.0
0.4227781933257505 0.0026156651583929286,1.0 0.2786719840843742,0.21116956873604223 1.0
1.0 0.07380543393846291,1.0 0.0009133270199848705,1.0 0.23291970668324358
1.0 0.3179720184058497,0.529718306524867 0.15888200237193792,1.0 0.7928719800574308
0.2630454127785783 0.12433099994379893,0.9546355163381066 0.027739916688888866,1.0 0.3246765290301467
0.14590602159367538 0.4094156155272951,1.0 1.0,0.7555379344479646 0.6068187644234445
0.09931868869270138 0.0766175096207154,0.029895644537529104 0.15887909169734768,0.8843026526925697 0.1722938931190719
1.0 0.2009952449618076,0.2045741794650861 0.0004036162915843402,0.12129276449163612 0.5980230060495673
1.0 0.08329177852432165,0.21094200545109232 0.5149203162044829,0.21525120680037932 0.011422331115869568
1.0 1.0,1.0 3.909230406192999e-05,0.857097408331845 0.7435742383326209
0.08028514801141108 0.47506469190302025,1.0 1.0,1.0 1.0
0.5981640841221737 0.3630094926648893,1.0 1.0,0.5542472783316867 0.0012539496772409307
1.0 0.34054476533737343,1.0 1.0,1.0 1.0
1.0 0.46274289833833115,0.08850118374566088 0.8347606969983704,1.0 1.0
0.14855580260289314 0.0054829456694276265,4.611841184530922e-05 0.29150178593213794,0.26752156278371325 0.2132228547043865
1.0 0.05274742067606914,0.14879571982572265 0.18962583025002333,0.6710248054940062 0.30728415344131266
1.0 0.1974791256868245,1.0 0.5188498002931501,0.15402209623336333 0.1225929624929624
1.0 0.2694700995749146,0.5744658880962813 0.006694809154947028,0.04588252147824057 0.012539939296012458
1.0 0.27681122904528177,1.0 0.29901068841858214,0.7092279186021941 0.001297588886726459
0.003963712217649558 0.1475226016027443,1.0 3.1506201871796858e-06,1.0 0.7412282435115194
0.024993133194424744 0.9283003729479036,1.0 0.07642930667711939,0.00743375508903088 0.3658357805926882
1.0 0.4418412747546499,1.0 0.0014514967920621967,1.0 0.12197322056706644
1.0 0.026593797541769486,0.0015839738749742222 0.0010241545626368982,0.003825526317673406 0.5500761672100042
1.0 0.0005757552763348719,0.964657736856996 0.7992477153015387,1.0 1.0
1.0 0.022993740853466636,0.9817007839247053 0.0035620165013180516,0.8782942185674976 0.47787478132489913
0.8604882352362982 1.0,1.0 0.013537575456268153,1.0 0.7231973024009539
0.15276167032909246 0.001584593823693286,1.0 1.0,1.0 0.3109492117655339
0.5913045408171884 0.15384481651513204,1.0 0.1651334533876609,0.8061968973805187 0.42534542548425436
0.051460261490654316 0.07530019717800585,1.0 0.02533297557977815,0.043869962328736745 0.20960505334694113
1.0 0.0807601706468422,1.0 0.5765367451520207,0.1195148986548479 0.012096973478530764
1.0 1.0,0.03836451401506338 0.4241643996935288,0.022348258414727894 0.46047147138590483
0.30127991785197344 0.0005939932889004254,1.0 1.0,0.04100483875177987 0.005456367780805436
1.0 0.01820011749371428,0.5580011201554085 1.0,0.6923493170899826 0.7897260330749019
0.854365556067488 1.0,1.0 0.15837477202268363,0.2978803849078961 0.270175604716417
1.0 0.00015407861796281044,0.1987020488213784 0.11474386422653754,0.5055848997086949 0.032789674279436645
1.0 0.7134316798321084,1.0 0.14510472374471575,0.8483704009202423 0.5891242326307249
0.42245118947986937 0.6253024769971416,0.03772846275109627 0.004216689206508536,0.01966724552847436 0.9814875000375414
0.0008385494026524581 0.5587306046790305,1.0 0.6632781955729697,0.2690029628103321 0.008244017084518628
1.0 1.0,1.0 3.4891379056771367e-06,0.2713487268535673 0.5400253853088844
0.33233443740597207 0.36134993474316923,0.5788492557342826 0.7244100466684396,0.15234452266383666 0.36617556000382234
0.08035375595838032 0.0064065777249626855,0.35532639992669957 0.000624679070235167,0.3101290040816219 0.09363614815461557
7.4896203022555e-05 0.41900458326563284,1.0 1.0,1.0 0.017496830773651675
0.3979656099066486 7.165334361563344e-06,0.7408538116655192 0.02347394441692472,0.23786162062039148 1.0
1.0 0.7904876566549068,0.8237354434166331 0.01607732520533596,0.6619977549651161 0.021293095676178642
0.4907377557392748 0.26123541815154433,0.11133132661986317 0.019552343089585436,1.0 0.8595218659808193
1.0 0.0015059048635752883,0.9371772091009503 0.40560499414980583,1.0 2.5224846823371057e-05
0.04227171637672126 0.02670574709200657,0.2289912802465832 1.0,0.8004846577236902 1.0
1.0 0.11299475710808939,1.0 0.9583970224693519,0.17833660063983817 1.0
0.1446933165145773 0.005240670407636529,1.0 0.5906639348607643,0.25090420147249376 0.0010344734297611843
1.0 1.0,1.0 1.0,1.0 0.006407254383210434
1.0 0.011455118579974733,0.8969612957378948 0.6436263053723523,0.3926464545305107 0.05080849679265319
0.8555520422930071 0.9024901640110199,0.4817507574560015 0.3398088897458658,0.13918441100466447 0.6895892879046377
1.0 0.11637333410325296,0.4258834224789205 1.0,0.574231067510785 0.10106667374346774
0.7541951385754257 0.33862322430130776,0.12754881680895575 0.16677270244246997,0.10058883691356543 0.08323695673708564
1.0 0.003881406541799132,0.06966691990187793 0.8920152316824921,0.7621623572634779 0.0011970513446237126
1.0 0.015307278779884432,0.17275312843475762 0.007647233304723285,0.1846420264318877 0.0004607524529973329
0.5422288573550513 0.019796522146162197,1.0 0.32093588522326505,1.0 0.0001483079977806529
0.8335556814531954 0.0028239921251739307,0.002290796653024362 5.2268457932616965e-05,0.19646678395201997 0.25313332633634567
0.8096588557451199 1.0,1.0 1.0,0.050063202861468925 0.0034994646714821102
0.0709894319897395 1.0,1.0 1.0,1.0 1.0
0.2928922860803122 5.3709516242352225e-06,0.1099617421478915 0.0030192482419475813,0.013717479295464088 1.0
0.6240631728779757 0.24960632677807934,0.018200825415689688 0.02010549711987694,1.0 0.09473207988538289
0.8331285393619592 0.00068241403274447,0.0009067226620283514 0.00251500484373301,1.0 0.0003229074279292637
0.08124720815467736 0.0979946773325032,0.11775531196333547 0.3273381406690938,0.015232577638391146 0.06644446953577587
0.04759420800612574 0.06350120083694245,0.8450554530244474 0.5637660014902268,1.0 0.3123155293292328
0.5170678325932551 0.05691599371015779,0.07767953335773525 0.01073054526777632,0.2533199315847121 0.38514914257254934
0.0002838820233614347 1.0,0.6112347348712317 1.0,0.702476158329314 0.3667719205659135
0.7797732581879817 0.022279178138785567,0.2983360424296666 2.2972158409240796e-06,0.00512746844837743 0.002591179307870382
0.5620109295581972 0.7410074786625911,0.17661700234957445 0.8447513452467545,0.35816349831281286 1.0
1.0 0.7493906107388139,1.0 0.8609143236334821,0.4970430776334687 0.37958745286422935
0.4193140976458585 0.5094058091987246,1.0 0.20630787602488565,0.551681045303767 0.07769275464157743
1.0 0.05472392923966837,1.0 0.006755246603292438,0.20187199858636645 2.1579231474478633e-08
0.03791493263862393 0.17785594707667446,0.13773187377194362 0.8999992096513947,0.1652841571061539 1.0
0.6484249597425062 0.09860167664320091,0.3264059728361905 0.00013189036269365667,0.06828402359151296 0.00015025392819629187
1.0 0.3499955209464757,0.9608800187056167 1.0,0.13717190307124671 0.30796808626751904
0.0011778590600744145 1.0,1.0 0.5662309838254869,1.0 0.09747061302836288
1.0 0.12907927699439112,1.0 0.07613050783039148,0.7330451544016313 0.21165914365177024
1.0 0.24612251632280263,0.2787355695709997 0.3129023087386954,1.0 1.0
1.0 0.25852933138505096,1.0 0.6748081843346873,1.0 0.1797425355557785
1.0 0.012724940920673432,1.0 0.0938024319985012,1.0 1.0
1.0 0.39760751357032625,0.27324543834192444 0.001097934010741403,1.0 0.4042382229121019
0.6350746532682894 1.0,0.1444213095901303 0.0021594689695776117,1.0 1.0
1.0 0.9770321029033799,1.0 0.3228195930603832,1.0 1.0
1.0 0.1748310215356987,0.5444576848910602 1.0,0.006994385171068259 0.39949152679903094
1.0 0.18284369089380392,0.07483506922492031 0.5769550049674376,1.0 1.0
0.010885925610611667 0.17521650064522162,0.006419268887253278 0.00044629214490063613,0.08399352111405847 0.6407797123266643
0.6540653999919422 1.0,0.7879482532655528 1.0,0.12730568046971857 1.0
0.10383708056619556 0.1349412034333681,0.25693003905209694 0.7801835347979269,0.1557676014019954 0.7907304121884731
1.0 1.0,0.13389358842732754 0.5529252678416945,1.0 0.21929712617975164
1.0 0.3654104680487224,0.8241382413338537 0.26621483198537654,1.0 0.4499845403304815
1.0 0.40864785857312313,0.16727954476477447 1.0,1.0 0.6620810884415256
1.0 0.017815385793567597,1.0 0.23694816247402567,1.0 0.08022489780823208
0.0010980819460292626 0.009461121178723527,0.5697610385076267 0.010636144248435663,0.39079859659583754 0.3775298366073567
1.0 0.4437630016242877,0.6024030480382052 0.41627581452019125,1.0 0.14844526037816774
1.0 0.00905223599711498,0.08557399581966665 0.5899491655474958,1.0 0.1313870140772272
1.0 0.39461787404809245,1.0 0.9266686029926381,1.0 0.5778036974880544
0.027450627070056903 0.007561270649250187,0.07971976403014866 0.18493377339421488,1.0 0.8234847802453144
0.05763354427870102 0.7955981365336047,0.6226454299711126 0.5616805369843303,0.7943299820327465 0.7505793273593295
0.3247231367022869 0.1366698831824989,0.5104577313141345 0.6868459296676631,0.1761397625966982 0.18596859256879122
1.0 0.015124000177903319,1.0 0.8449327434320992,0.4025073192183975 0.0030098277532645277
1.0 0.05932881068364272,0.0004169196408866318 0.0002642464789655121,9.7805578874981e-06 0.7816943286247038
0.6847261485875481 0.08535353696073178,0.9112469527620879 0.2207558880467048,1.0 0.11047249112848607
0.4260272755397477 0.367884429483239,0.1251535470398575 0.15277771909090077,1.0 0.4657121430503183
1.0 0.5841480939693917,1.0 1.4812496515746022e-05,0.4639762309380595 0.00042346253215291407
1.0 0.41432252583740536,1.0 0.8436209456605881,1.0 0.40171636358120744
0.0001624909974849107 0.47270137845738797,1.0 0.19595222454152048,1.0 0.5974264124836988
0.7650100454795948 0.7290607054127831,0.24011909459096675 0.0017631208824960144,0.033493227676903325 0.881674238802518
1.0 0.09792346216422457,0.9654586823152457 1.0,1.0 0.002637728109303232
1.0 1.0,0.04767908047193033 0.1495838540985815,1.0 0.03663170783989016
0.2937439682729841 0.2877633864906166,1.0 1.0,0.31840325251659696 0.7118390013744366
0.11498794111075564 0.07445615883081108,1.0 0.9085678679549511,1.0 0.25981561691016575
1.0 0.3304058628441073,0.8042643307737227 0.07841539770936393,0.4762249520228939 0.0014795017594503158
1.0 0.1856578399319256,1.0 0.7821134106046699,0.48574961002967293 0.791700725238934
1.0 0.012202352827042216,0.7434413320452309 0.5037536674023703,0.5377888494283385 0.12380760544928683
0.004450668347713262 0.030479971796174864,0.4970042430476438 2.283845946529978e-06,0.24762088948197308 0.011395808741422405
0.02305499309271003 0.18674056061229657,0.16701255066487802 0.017754452748162564,0.40025372130333053 0.34376340633449315
0.32922278069950534 0.15974290773058786,0.33345261458397457 0.05798653017924027,1.0 0.029711680008014232
1.0 0.9363173180038691,0.24614977857824286 0.6313849252158359,0.06521150071888397 0.36279709017636763
0.05699738671719559 0.32221592544103683,1.0 0.0022274133722023273,1.0 0.8896855548567306
1.0 0.6653297634195893,0.22019266564162632 0.0004171504617307665,0.5946524930833494 1.0
1.0 0.5788005818195764,1.0 0.20979804228997628,1.0 0.00014712439968088187
1.0 0.00029937393332990937,0.24944619319986888 0.4948812028521194,0.29176370743269475 0.26661161786090476
0.4778761728385286 0.7479627948757284,0.001703929677156035 0.8278132040736152,0.9907003120581495 1.0
0.10110783805875928 1.0,1.0 0.17252876687091026,0.1950626713736859 0.05016418137197466
0.18322082384637703 0.8591741605584731,1.0 0.6501083208081158,0.46796757916878495 0.0008356986769446312
9.945136718115956e-05 0.004751949594742229,0.07940269445381345 0.002218781003518926,0.003334794477937263 0.03303046244739528
